"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Thu Mar 17 20:23:04 GMT 2022","Thu Mar 17 20:23:04 GMT 2022","0","chromium","tests/test.spec.ts","","","","basic test 2",""
"skipped","Thu Mar 17 20:23:04 GMT 2022","Thu Mar 17 20:23:04 GMT 2022","0","chromium","tests/test.spec.ts","","","","basic test 3",""
"skipped","Thu Mar 17 20:23:04 GMT 2022","Thu Mar 17 20:23:04 GMT 2022","0","chromium","tests/test.spec.ts","","","","basic test 1",""
"failed","Thu Mar 17 20:23:03 GMT 2022","Thu Mar 17 20:23:03 GMT 2022","0","chromium","tests/test.spec.ts","","","","basic test",""
