"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Mar 20 12:18:18 GMT 2022","Sun Mar 20 12:18:19 GMT 2022","872","chromium","tests/test.spec.ts","","","","basic test 2",""
"passed","Sun Mar 20 12:18:20 GMT 2022","Sun Mar 20 12:18:22 GMT 2022","2404","chromium","tests/test.spec.ts","","","","basic test 3",""
"passed","Sun Mar 20 12:18:10 GMT 2022","Sun Mar 20 12:18:10 GMT 2022","221","chromium","tests/configure.spec.ts","","","","Configure Allure report",""
"passed","Sun Mar 20 12:18:15 GMT 2022","Sun Mar 20 12:18:16 GMT 2022","1165","chromium","tests/test.spec.ts","","","","basic test 1",""
"failed","Sun Mar 20 12:18:13 GMT 2022","Sun Mar 20 12:18:14 GMT 2022","1167","chromium","tests/test.spec.ts","","","","basic test",""
