"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Apr 07 20:56:18 GMT 2022","Thu Apr 07 20:56:19 GMT 2022","801","chromium","tests/test.spec.ts","","","","basic test 2",""
"failed","Thu Apr 07 20:56:14 GMT 2022","Thu Apr 07 20:56:15 GMT 2022","811","chromium","tests/test.spec.ts","","","","basic test",""
"passed","Thu Apr 07 20:56:19 GMT 2022","Thu Apr 07 20:56:23 GMT 2022","3102","chromium","tests/test.spec.ts","","","","basic test 3",""
"passed","Thu Apr 07 20:56:11 GMT 2022","Thu Apr 07 20:56:11 GMT 2022","246","chromium","tests/configure.spec.ts","","","","Configure Allure report",""
"passed","Thu Apr 07 20:56:15 GMT 2022","Thu Apr 07 20:56:16 GMT 2022","802","chromium","tests/test.spec.ts","","","","basic test 1",""
