"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Mar 16 21:19:17 GMT 2022","Wed Mar 16 21:19:17 GMT 2022","816","chromium","tests/test.spec.ts","","","","basic test",""
"passed","Wed Mar 16 21:19:18 GMT 2022","Wed Mar 16 21:19:19 GMT 2022","807","chromium","tests/test.spec.ts","","","","basic test 1",""
"failed","Wed Mar 16 21:19:21 GMT 2022","Wed Mar 16 21:19:22 GMT 2022","831","chromium","tests/test.spec.ts","","","","basic test 2",""
