"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 16 21:09:35 GMT 2022","Wed Mar 16 21:09:36 GMT 2022","813","chromium","tests/test.spec.ts","","","","basic test 1",""
"failed","Wed Mar 16 21:09:34 GMT 2022","Wed Mar 16 21:09:34 GMT 2022","774","chromium","tests/test.spec.ts","","","","basic test",""
"failed","Wed Mar 16 21:09:38 GMT 2022","Wed Mar 16 21:09:38 GMT 2022","753","chromium","tests/test.spec.ts","","","","basic test 2",""
