"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Mar 16 20:58:27 GMT 2022","Wed Mar 16 20:58:28 GMT 2022","1025","chromium","tests/test.spec.ts","","","","basic test 2",""
"failed","Wed Mar 16 20:58:23 GMT 2022","Wed Mar 16 20:58:23 GMT 2022","941","chromium","tests/test.spec.ts","","","","basic test",""
"passed","Wed Mar 16 20:58:24 GMT 2022","Wed Mar 16 20:58:25 GMT 2022","912","chromium","tests/test.spec.ts","","","","basic test 1",""
