"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 16 16:44:03 GMT 2022","Wed Mar 16 16:44:04 GMT 2022","849","chromium","tests/test.spec.ts","","","","basic test 1",""
"failed","Wed Mar 16 16:44:02 GMT 2022","Wed Mar 16 16:44:02 GMT 2022","854","chromium","tests/test.spec.ts","","","","basic test",""
"failed","Wed Mar 16 16:44:06 GMT 2022","Wed Mar 16 16:44:07 GMT 2022","852","chromium","tests/test.spec.ts","","","","basic test 2",""
