"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Mar 17 20:38:12 GMT 2022","Thu Mar 17 20:38:13 GMT 2022","824","chromium","tests/test.spec.ts","","","","basic test",""
"failed","Thu Mar 17 20:38:17 GMT 2022","Thu Mar 17 20:38:17 GMT 2022","0","chromium","tests/test.spec.ts","","","","basic test 3",""
"passed","Thu Mar 17 20:38:13 GMT 2022","Thu Mar 17 20:38:14 GMT 2022","879","chromium","tests/test.spec.ts","","","","basic test 1",""
"failed","Thu Mar 17 20:38:17 GMT 2022","Thu Mar 17 20:38:17 GMT 2022","899","chromium","tests/test.spec.ts","","","","basic test 2",""
