"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Thu Mar 17 11:21:45 GMT 2022","Thu Mar 17 11:21:45 GMT 2022","0","chromium","tests/test.spec.ts","","","","basic test 3",""
"failed","Thu Mar 17 11:21:44 GMT 2022","Thu Mar 17 11:21:44 GMT 2022","0","chromium","tests/test.spec.ts","","","","basic test",""
"skipped","Thu Mar 17 11:21:45 GMT 2022","Thu Mar 17 11:21:45 GMT 2022","0","chromium","tests/test.spec.ts","","","","basic test 1",""
"skipped","Thu Mar 17 11:21:45 GMT 2022","Thu Mar 17 11:21:45 GMT 2022","0","chromium","tests/test.spec.ts","","","","basic test 2",""
